ID;TWEET;label;len emoji;len text;len letters;TWEET_clean
14;عاجبني فشخ العرب الي داخلين تحت علم الاوليمبياد دول و خصوصاً الديحاني اللي خد الدهب رمايه قاعدين يطبلوله في حين انها متحسبتش لعربي ولا حاجه;joy;0;25;23;عاجبني فشخ العرب الي داخلين الاوليمبياد دول خصوصا الديحاني اللي خد الدهب رمايه قاعدين يطبلوله انها متحسبتش لعربي حاجه
15;: لا قيمه لزحام الاشخاص مِن حوْلك، يكفيك قلب صادق، تشعر بـ  الحُب في اقواله وافعاله، يمشي معك الطريق حتي نهايته.! •  كتابات يوسف…;love;0;24;33;قيمه لزحام الاشخاص حولك، يكفيك قلب صادق، تشعر بـ الحب اقواله وافعاله، يمشي معك الطريق حتي نهايته • كتابات يوسف…
16;20 سنه وهيلعب الاوليمبياد مع نيجيريا مش زي ايفونا بس كويس;none;0;11;20;20 سنه وهيلعب الاوليمبياد نيجيريا مش زي ايفونا كويس
17;اغار بجنون ولسعات غيرتي تخدش تفاصيل اللقاء ولاهدوء اعدك حين اراك ان اجمع اشباهك الاربعين في سجون ابديه حتي لا…;love;0;20;25;اغار بجنون ولسعات غيرتي تخدش تفاصيل اللقاء ولاهدوء اعدك اراك ان اجمع اشباهك الاربعين سجون ابديه حتي لا…
18;كُـنت نفسـك .. تبـني دُنـيااا .. طعـم تااني و حـاجه تـانيه;sadness;0;11;20;كـنت نفسـك تبـني دنـيااا طعـم تااني حـاجه تـانيه
19;المفروض يلغوها من الاوليمبياد وندخل الاسكواش مكانها احسن 😂;none;1;9;20;المفروض يلغوها الاوليمبياد وندخل الاسكواش مكانها احسن 😂
20;25jan   اعوذ بالله مايسوي هذا الرز اللي تحكوا عنه قطره دم لواحد من اخواننا المصريين الله يحميك يامصر ويحفظ اهلك 💔;sympathy;1;21;30;25jan اعوذ بالله مايسوي الرز اللي تحكوا عنه قطره دم لواحد اخواننا المصريين الله يحميك يامصر ويحفظ اهلك 💔
21;هههه والله انا بعد هالمنظر متعاطف قلبا وقالبا مع الاناث!;sympathy;0;10;18;هههه والله انا هالمنظر متعاطف قلبا وقالبا الاناث
22;0 ي الله كل ذَا نسيتوا تعبها معكم طول السنين اللي جالسه تسويه من ابسط حقوقها والله لو شي ثاني تدفعون وم تفكرون بالمبلغ;sympathy;0;24;26;0 الله نسيتوا تعبها معكم طول السنين اللي جالسه تسويه ابسط حقوقها والله شي تدفعون وم تفكرون بالمبلغ
23;. كل ما دعيت الله عطف و توافيق اسمه يخاشر دعوتي بالدقيقه .;sympathy;0;13;20;دعيت الله عطف توافيق اسمه يخاشر دعوتي بالدقيقه
24;علي المواطن ان يخبط راسه في الحيط احتجاجاً ، واذا قبضوا عليه يقول انه بيشوف الحيطه جامده ولا لا  جلال عامر;anger;0;21;25;علي المواطن ان يخبط راسه الحيط احتجاجا ، واذا قبضوا يقول انه بيشوف الحيطه جامده جلال عامر
25;بعثه مصر في الاوليمبياد رايحه تتفرج زيها زينا 😂😂;none;2;9;20;بعثه مصر الاوليمبياد رايحه تتفرج زيها زينا 😂😂
26;ايه بقي اللي بيحصل يخلي كل الاطفال دي من التمانينيات والتسعينيات وكمان مواليد 2000 مايحققوش اي حاجه في اي حته  الاوليمبياد;surprise;0;21;24;ايه بقي اللي بيحصل يخلي الاطفال دي التمانينيات والتسعينيات وكمان مواليد 2000 مايحققوش اي حاجه اي حته الاوليمبياد
27;واتاري المحاسبه غداره غداره .;sadness;0;5;15;واتاري المحاسبه غداره غداره
28;: كل التوفيق للجهاز الاداري بقياده عبدالعزيز المطوع وحسين عاشور الله يوفقهم يارب 💚💚💚;sympathy;3;14;24;التوفيق للجهاز الاداري بقياده عبدالعزيز المطوع وحسين عاشور الله يوفقهم يارب 💚💚💚
29;يا ساتر.. هما بيهمدوش ابدا .. جماعه الشيطان دي !!;surprise;0;10;19;ساتر بيهمدوش ابدا جماعه الشيطان دي
30;ما اجمل ان تزوريني في الحلم لتطمئني قلبي الحزين ... ان غدا يوم جميل ❤;love;1;15;21;اجمل ان تزوريني الحلم لتطمئني قلبي الحزين ان يوم جميل ❤
31;:  دعاء اللهم اشف عبدك لؤي صالح مقبل الذي تعرض لجلطه الزمته الفراش وهو ولله الحمد في تحسن مستمر ويطلب دعواتكم له;sympathy;0;22;28;دعاء اللهم اشف عبدك لؤي صالح مقبل تعرض لجلطه الزمته الفراش ولله الحمد تحسن مستمر ويطلب دعواتكم
32;مصر حاليا في مركز 61 من بين 67 مركز في الاوليمبياد يا بلاش والله;none;0;14;20;مصر حاليا مركز 61 67 مركز الاوليمبياد بلاش والله
33;حاليًا انا مصدومه عاطفيا ونفسيا وجسديا ولا هيش ماهذا;surprise;0;9;19;حاليا انا مصدومه عاطفيا ونفسيا وجسديا هيش ماهذا
34;الدعاء لاهلنا ب  حلب فهم بحاجه له فهم يتعرضون لقصف شرس نسال الله ان يحفظهم فهناك العشرات من الشهداء والجرحي اسال الله ان يتقبلهم ويشافيهم;sympathy;0;25;24;الدعاء لاهلنا حلب فهم بحاجه فهم يتعرضون لقصف شرس نسال الله ان يحفظهم فهناك العشرات الشهداء والجرحي اسال الله ان يتقبلهم ويشافيهم
35;مش عارف البرازيل ازاي فازت بتنظيم الاوليمبياد.;surprise;0;7;17;مش عارف البرازيل ازاي فازت بتنظيم الاوليمبياد
36;امبارح كنت بقول لو افترقنا طول حياتي دي نهايتها .. وانهارده بقيت بقول موش عايز حد قدامي يجيب سيرتها ..;sadness;0;20;23;امبارح كنت بقول افترقنا طول حياتي دي نهايتها وانهارده بقيت بقول موش عايز حد قدامي يجيب سيرتها
37;Minawya9 خلاص مهو دخل .. افكسو مالهاشتاج ده ونكتب هاشتاج ترحيب بيه فتويتر;joy;0;13;28;Minawya9 خلاص مهو دخل افكسو مالهاشتاج ده ونكتب هاشتاج ترحيب بيه فتويتر
38;ايران تمول قناه الحره وبعدين معاك ي ايران تري مابغي امحيك من الارض خلينا حبايب وبلاش مشاكل;anger;0;17;20;ايران تمول قناه الحره وبعدين معاك ايران تري مابغي امحيك الارض خلينا حبايب وبلاش مشاكل
39;ده فيديو حياتي;joy;0;3;9;ده فيديو حياتي
40;بيل و كروس لازم يلعبوا غصبا عنهم في السوبر;joy;0;9;17;بيل كروس لازم يلعبوا غصبا عنهم السوبر
41;ياربي خايفه من الاختبار مره.;fear;0;5;13;ياربي خايفه الاختبار مره
42;ان يقع في حُب العقول قبل الوجوه..!;love;0;7;16;ان يقع حب العقول الوجوه
43;كل اما افتح اي قناه بتذيع الاوليمبياد الاقي امريكا و الصين بيتنافسو ع الذهب .. في كل الالعاب الفرديه تقريبا ... مفيش غيركو ولا ايه 😂😂;surprise;2;26;24;اما افتح اي قناه بتذيع الاوليمبياد الاقي امريكا الصين بيتنافسو الذهب الالعاب الفرديه تقريبا مفيش غيركو ايه 😂😂
44;باقيلي 12 دقيقه في اول حلقه من بلاك ميرور و خايفه اكملها من الي حيصير سند هيلب;fear;0;17;20;باقيلي 12 دقيقه اول حلقه بلاك ميرور خايفه اكملها الي حيصير سند هيلب
45;علاء ابو القاسم انصاب قبل الاوليمبياد و للاسف خسر انهارده لكن هو برضه بطل و مش هنتحبط لا 😞;sadness;1;19;25;علاء ابو القاسم انصاب الاوليمبياد للاسف خسر انهارده برضه بطل مش هنتحبط 😞
46;شكلها كده مفيهاش نوم وهنقعد نتابع الاوليمبياد للصبح.او غالبا احنا بقينا الصبح;none;0;12;20;شكلها كده مفيهاش نوم وهنقعد نتابع الاوليمبياد للصبحاو احنا بقينا الصبح
47;خايفه اصف جنبك;fear;0;3;11;خايفه اصف جنبك
48;ربنا معاهم احسن من اي حد ربنا يتولاهم بي رحمتو  انقذوا اطفال السرطان;sympathy;0;13;19;ربنا معاهم احسن اي حد ربنا يتولاهم رحمتو انقذوا اطفال السرطان
49;:  الصرخي يحطم كهنوتيه السيستاني السيستاني لم يواجه السلطه الفاسده!!!;anger;0;10;21;الصرخي يحطم كهنوتيه السيستاني السيستاني يواجه السلطه الفاسده
50;: انتقاله عجيبه، عقيل الخزعلي من مذيع بقناه افاق التابعه للمالكي الي وزير داخليه وكاله (لاعجب، هذه دوله ملشيات);anger;0;19;25;انتقاله عجيبه، عقيل الخزعلي مذيع بقناه افاق التابعه للمالكي الي وزير داخليه وكاله لاعجب، دوله ملشيات
51;1424   ي الله 💔 كان الله في عونهم .. والله صوره موجعه لابعد حد 😔😔😔;sympathy;4;15;23;1424 الله 💔 الله عونهم والله صوره موجعه لابعد حد 😔😔😔
52;الماتش الجاي قدام السويد واحده من اللي بتنافس علي ذهبيه ف الاوليمبياد يعني علي المنتخب السلانكتيه 😂;surprise;1;17;22;الماتش الجاي قدام السويد واحده اللي بتنافس علي ذهبيه الاوليمبياد يعني علي المنتخب السلانكتيه 😂
53;انا بقيت خايفه من ربنا لدرجه ان خايفه اصلي    بعد مكنت بفكر صحابي بالصلاه وربنا بقيت انا اللي بخاف منه وببعد .;fear;0;22;21;انا بقيت خايفه ربنا لدرجه ان خايفه اصلي مكنت بفكر صحابي بالصلاه وربنا بقيت انا اللي بخاف وببعد
54;جاريدو مش مدرب ده بتاع بطيخ فضحتنا ليه تشمت فينا الزملكاويه اللي هما اصلا متعودين ع الخساره ليـــــــه كــــــــدا يااخي .. دي عمرها ماحصلت;anger;0;24;26;جاريدو مش مدرب ده بتاع بطيخ فضحتنا ليه تشمت فينا الزملكاويه اللي اصلا متعودين الخساره ليـــــــه كــــــــدا يااخي دي عمرها ماحصلت
55;ماشاء الله المحمدي كورته نظيفه.. والله زي شيفو متوازن دفاع وهجوم شئ يبرد القلب;joy;0;14;24;ماشاء الله المحمدي كورته نظيفه والله زي شيفو متوازن دفاع وهجوم شئ يبرد القلب
56;بس برده اللهم وفق باقي اولادنا في الايام اللي جايه في الاوليمبياد وارزقهم الذهب لا الفضه ولا البرونز;none;0;18;18;برده اللهم وفق باقي اولادنا الايام اللي جايه الاوليمبياد وارزقهم الذهب الفضه البرونز
57;ايه ده ازاي ده! رهيب..;surprise;0;5;10;ايه ده ازاي ده رهيب
58;باي موراي ابن الجزمه ده ياخد ذهبيه السنه دي وذهبيه الاوليمبياد اللي فاتت 😏;none;1;14;19;باي موراي ابن الجزمه ده ياخد ذهبيه السنه دي وذهبيه الاوليمبياد اللي فاتت 😏
59;وزاره التجاره تدعو الشركات المتاثره بارتفاع البنزين لتقديم ادلتها مشدده علي ضروره تطبيق القانون علي المخالفين الذين يرفعون الاسعاربشكل مصطنع;none;0;20;26;وزاره التجاره تدعو الشركات المتاثره بارتفاع البنزين لتقديم ادلتها مشدده علي ضروره تطبيق القانون علي المخالفين يرفعون الاسعاربشكل مصطنع
60;: انتُ حاجه .. لو تجينيَ بس مره ؟ اكتفيُ في جيّتك عن كل حاجه;love;0;15;23;انت حاجه تجيني مره ؟ اكتفي جيتك حاجه
61;اجمل ماقيل بالحب ابحر في حب الصحابه للنبي ﷺ واقطف من بستانهم حتي تكتفي واشرب من نهرهم حتي ترتوي فهناك الخالي من الشوائب.;love;0;23;24;اجمل ماقيل بالحب ابحر حب الصحابه للنبي ﷺ واقطف بستانهم حتي تكتفي واشرب نهرهم حتي ترتوي فهناك الخالي الشوائب
62;اتاخرت قوي ياصلاح الاوليمبياد الجايه قربت تخلص ياخساااااره ياصلاح ياخساره😞;sadness;1;10;18;اتاخرت قوي ياصلاح الاوليمبياد الجايه قربت تخلص ياخساااااره ياصلاح ياخساره😞
63;ثــانـــــي ميـــداليـــــه مصــــــريـــــــه ( محمد ايهاب) برونزيه رفع اثقال  مصر في الاوليمبياد  ريو دي جانيرو 2016;none;0;16;26;ثــانـــــي ميـــداليـــــه مصــــــريـــــــه محمد ايهاب برونزيه رفع اثقال مصر الاوليمبياد ريو دي جانيرو 2016
64;يا اول .... حب 💙;love;1;5;9;اول حب 💙
65;ما اجمل ان تتنازل عن كل ممتعات الحياه ...... و تجلس ساكتا  وحيدا متاملا منظر السماء في هدوء تام   يوميات جيمي;joy;0;21;21;اجمل ان تتنازل ممتعات الحياه تجلس ساكتا وحيدا متاملا منظر السماء هدوء تام يوميات جيمي
66;: اللهّم خفف عن جدتي كُل ذره وجع ترهقها وانزل عليها لِتُزيل بها تعبك يا رب العالمين، اللهم اشفها وخفف عنها مراره الا…;sympathy;0;23;27;اللهم خفف جدتي ذره وجع ترهقها وانزل عليها لتزيل تعبك رب العالمين، اللهم اشفها وخفف عنها مراره الا…
67;الوليه المذيعه خايفه تتكلم و خايفه من راي الجمهور حد يروحها يا جماعه;fear;0;13;18;الوليه المذيعه خايفه تتكلم خايفه راي الجمهور حد يروحها جماعه
68;الجيش واللجان الشعبيه في جيزان يسطرون الملاحم كان الله في عونهم دعوات الشعب اليمني وكل مستضعفي العالم تناصركم يا خير رجال الارض واصدقها،،;sympathy;0;23;26;الجيش واللجان الشعبيه جيزان يسطرون الملاحم الله عونهم دعوات الشعب اليمني وكل مستضعفي العالم تناصركم خير رجال الارض واصدقها،،
69;لا بس واضح ان الحكومه مرعوبه من 11 11 تعويم جنيه و رفع الدعم عن المحروقات في يوم واحد .. دي زي اللي بتقول...;fear;0;24;23;واضح ان الحكومه مرعوبه 11 11 تعويم رفع الدعم المحروقات يوم دي زي اللي بتقول
70;مشكله اغلب الشعب خايف اذا فضح الفساد راح يجي حرب ودمار وسرقه فهو مضطر يطبل للفساد والسرقه انطق بالحق ستبقي بالقبر وحيد  زياده رواتب القطريين;fear;0;25;26;مشكله اغلب الشعب خايف اذا فضح الفساد يجي حرب ودمار وسرقه فهو مضطر يطبل للفساد والسرقه انطق بالحق ستبقي بالقبر وحيد زياده رواتب القطريين
71;بتضحك وعينيها كلها دمووووع نعم يا ساده انا اعشق شيرين يحيي  ShereenYehia   مكملين مع شيرين  StaracArabia;joy;0;16;31;بتضحك وعينيها كلها دمووووع ساده انا اعشق شيرين يحيي ShereenYehia مكملين شيرين StaracArabia
72;: عشقي لك لا ينتهي 😍;love;1;6;13;عشقي ينتهي 😍
73;ده احنا مبنلمسش الكوره !!!;surprise;0;5;15;ده احنا مبنلمسش الكوره
74;النرويج تهدي  فنلندا جبلًا في عيد استقلالها     اسال اكثر;joy;0;9;20;النرويج تهدي فنلندا جبلا عيد استقلالها اسال اكثر
75;البورتريكيه مونيكا بويغ تصنع التاريخ بتتويجها بالذهبيه الاولي لبلدها في الاوليمبياد علي حساب انجليك كيربر 6 1 و 6 4 .  براء;none;0;22;27;البورتريكيه مونيكا بويغ تصنع التاريخ بتتويجها بالذهبيه الاولي لبلدها الاوليمبياد علي حساب انجليك كيربر 6 1 6 4 براء
76;MOSAAD  مرعب ابن متناكه😭😭😭;fear;3;4;16;MOSAAD مرعب ابن متناكه😭😭😭
77;نيجيريا جالده الجزائر !!!;surprise;0;4;12;نيجيريا جالده الجزائر
78;20 سنه ويكسب بطل العالم 5 مرات و الاوليمبياد مرتين يا جماعه والله مبروك لتونس الف مره  TUN;joy;0;18;24;20 سنه ويكسب بطل العالم 5 مرات الاوليمبياد مرتين جماعه والله مبروك لتونس الف مره TUN
79;يامال فرقا العين ميداليه وحده للعرب في الاوليمبياد لا والي جايبها واحد مجنس  Rio2016;none;0;14;24;يامال فرقا العين ميداليه وحده للعرب الاوليمبياد والي جايبها مجنس Rio2016
80;معنديش اي ابن وسخه يخليني افرح او افرح حد ولو بايسط طريقه.;anger;0;12;20;معنديش اي ابن وسخه يخليني افرح او افرح حد بايسط طريقه
81;ربنا يستر انا خايفه من المدبحه دي بجد وزاره الصحه مش هتقدر تقاوم كتير خصوصا ان مبقاش في منطق للمقاومه كده;fear;0;21;23;ربنا يستر انا خايفه المدبحه دي بجد وزاره الصحه مش هتقدر تقاوم كتير خصوصا ان مبقاش منطق للمقاومه كده
82;بابا فرحان ان الزمالك كسبان وانا مش عارفه افرح علشان هو فرحان ولا ازعل علشان الزمالك كسبان وحاسه بالي هو عقوق الوالدين ده، هيجيلي انفصام ????????;surprise;0;26;23;بابا فرحان ان الزمالك كسبان وانا مش عارفه افرح علشان فرحان ازعل علشان الزمالك كسبان وحاسه بالي عقوق الوالدين ده، هيجيلي انفصام
83;يا جماعه كله يروح عالانستجرام يالا :D انشرو حساب شيرين يحيي ♥  ShereenYehia  مكملين مع شيرين;joy;1;16;28;جماعه كله يروح عالانستجرام يالا D انشرو حساب شيرين يحيي ♥ ShereenYehia مكملين شيرين
84;الاهلي ?;surprise;0;2;6;الاهلي
85;جوايا خوف من كلمه الظروف تبقي طريقي ..;fear;0;8;19;جوايا خوف كلمه الظروف تبقي طريقي
86;اللهم اغفر لاغلي من غابوا عن الدنيا و ارحمهم و احشرهم في زمره المتحابين فيك و اجعل ملتقاني بهم في الفردوس الاعلي يا رب.  حوتان التميمي;sympathy;0;26;23;اللهم اغفر لاغلي غابوا الدنيا ارحمهم احشرهم زمره المتحابين فيك اجعل ملتقاني الفردوس الاعلي رب حوتان التميمي
87;طب نتغير ازاي بس....؟؟؟؟💕💕;surprise;2;4;14;طب نتغير ازاي بس؟؟؟؟💕💕
88;كوسوفو تحصد اول ميداليه ذهبيه لها في التاريخ في اول مشاركه ليها في الاوليمبياد عن طريق مايليندا اللي جابت ذهبيه 56 كجم جودو;none;0;23;26;كوسوفو تحصد اول ميداليه ذهبيه التاريخ اول مشاركه ليها الاوليمبياد طريق مايليندا اللي جابت ذهبيه 56 كجم جودو
89;عندنا 12 ملعب من الل بتقوله دا .. وعندنا بلاييستيشن ودي مفاجاه الاوليمبياد عندنا وبس;surprise;0;15;20;عندنا 12 ملعب الل بتقوله دا وعندنا بلاييستيشن ودي مفاجاه الاوليمبياد عندنا وبس
90;انا مبسوط فشخ للبنتين و الله بتجربتهم في الاوليمبياد و بتشجيع الجمهور ليهم هناك;joy;0;14;20;انا مبسوط فشخ للبنتين الله بتجربتهم الاوليمبياد بتشجيع الجمهور ليهم
91;: لا تستطيع ان تستقيم بحياه مريحه نفسياً وانت تشاهد تلك المصائب التي يعيشها اهل ، حسبنا الله ونعم الوكيل، اللهم ارفع عنهم…;sympathy;0;23;26;تستطيع ان تستقيم بحياه مريحه نفسيا وانت تشاهد المصائب يعيشها اهل ، حسبنا الله ونعم الوكيل، اللهم ارفع عنهم…
92;ايه الفكره اننا كبعثه جمهوريه مصر العربيه وهي داخله في افتتاحيه الاوليمبياد نكون رافعين علم السعوديه !!;surprise;0;17;22;ايه الفكره اننا كبعثه جمهوريه مصر العربيه وهي داخله افتتاحيه الاوليمبياد نكون رافعين السعوديه
93;بقول لابويا عايز عربيه ب2 مليون جنيه .. قال كلمه غريبه اوي;surprise;0;12;18;بقول لابويا عايز عربيه ب2 مليون قال كلمه غريبه اوي
94;:  اهالي الرويس يناشدون الملك في وقف ازاله الحي بدعوي ان الحي عشوائي . جميع الاراضي في حي الرويس عليها صكوك من وزاره الع…;anger;0;24;26;اهالي الرويس يناشدون الملك وقف ازاله الحي بدعوي ان الحي عشوائي الاراضي حي الرويس عليها صكوك وزاره الع…
95;لا حول ولا قوه الا بالله ربنا يصبرهم 😢😢;sympathy;2;9;14;حول قوه الا بالله ربنا يصبرهم 😢😢
96;ليش طلع خيمس رودريغز!!! يعني لا بالرسميات نشوفه ولا بالوديات !!!  اكثر لاعب مظلوم شفته في ريال مدريد !!!;anger;0;19;24;ليش طلع خيمس رودريغز يعني بالرسميات نشوفه بالوديات اكثر لاعب مظلوم شفته مدريد
97;للحنين بوصله لا تشير الا اليك !!  بوصله  انا  انت;love;0;10;15;للحنين بوصله تشير الا اليك بوصله انا انت
98;عاوزين تنميه بشريه بجد مش هزار و بوزيتيف اينيرجي مدهشه و مش fake .. اتفرجوا ع الاوليمبياد...;joy;0;17;22;عاوزين تنميه بشريه بجد مش هزار بوزيتيف اينيرجي مدهشه مش fake اتفرجوا الاوليمبياد
99;انا طول عمري بحب الرياضه عامه اي لعبه و اي حاجه و بحب اتابع الاوليمبياد و طول عمري مش فارق معايا مين يكسب و مش فارق معايا الدول اصلا;none;0;29;23;انا طول عمري بحب الرياضه عامه اي لعبه اي حاجه بحب اتابع الاوليمبياد طول عمري مش فارق معايا مين يكسب مش فارق معايا الدول اصلا
100;"والقلبُ متلهّفٌ؛ لنعيمٍ سرمدي❤️";love;1;4;23;"والقلب متلهف؛ لنعيم سرمدي❤️"
101;حلمك ياعمر يالطفي حقيقه ... واسم الاهلي مالي الكون ... حلمك بيكبر كل دقيقه .شوف بقينا كام مليون;sympathy;0;18;20;حلمك ياعمر يالطفي حقيقه واسم الاهلي مالي الكون حلمك بيكبر دقيقه شوف بقينا كام مليون
102;: الله هو الذي يمنح لنا احبائنا. لا يمكن ان يوجد من خلال نسيان الله. اولئك الذين فقدوا حبهم لِـ الله ليس لهم معني في…;love;0;25;25;الله يمنح احبائنا يمكن ان يوجد خلال نسيان الله اولئك فقدوا حبهم لـ الله معني في…
103;سلامه قلبك;joy;0;2;9;سلامه قلبك
104;الخبر بيقول ان فيه بنت برازيليه بتعلب غطس طردوها من الاوليمبياد عشان نامت مع لاعب تجديف برازيلي ف اوضته ف القريه الاوليمبيه;none;0;22;23;الخبر بيقول ان بنت برازيليه بتعلب غطس طردوها الاوليمبياد عشان نامت لاعب تجديف برازيلي اوضته القريه الاوليمبيه
105;والولاء لك سيدي السلطان قابوس حفظه الله ومتعه بموفور من الصحه والعافيه والعمر المديد.🌹;love;1;14;24;والولاء سيدي السلطان قابوس حفظه الله ومتعه بموفور الصحه والعافيه والعمر المديد🌹
106;kuw      مشكور وضاح عالموقع المؤثر ...الله يكثر من امثالك????????????????;love;0;9;22;kuw مشكور وضاح عالموقع المؤثر الله يكثر امثالك
107;اني اُحبكِ عندما تبكينَ واحبُّ وجهكِ غائماً وحزينا   بعض النساء وجوههن جميلهٌ وتصيرُ اجملَ عندما يبكين;sadness;0;16;29;اني احبك عندما تبكين واحب وجهك غائما وحزينا النساء وجوههن جميله وتصير اجمل عندما يبكين
108;: خايف مع الايام تنسي اللي بينا قوام :)!;fear;0;9;17;خايف الايام تنسي اللي بينا قوام
109;الكهرباء تستمر في معاقبه المواطنين في صيف الرياض...;anger;0;8;21;الكهرباء تستمر معاقبه المواطنين صيف الرياض
110;رب كن لاخواننا في وزدهم صبراً وثباتاً وعليك باعداء الدين اجمعين . اللهم قد طال ليل الظالمين فارنا فيهم عجائب قدرتك .;sympathy;0;22;27;رب لاخواننا وزدهم وثباتا وعليك باعداء الدين اجمعين اللهم طال ليل الظالمين فارنا فيهم عجائب قدرتك
111;558: اخترتك حباً لقلبي فلا تكن بغيابك له وجعاً كنت ومازلت لقلبي عشقاً فرفقاً بقلبٍ عشقك ..;love;0;17;27;558 اخترتك حبا لقلبي تكن بغيابك وجعا كنت ومازلت لقلبي عشقا فرفقا بقلب عشقك
112;اسعدني حظي بسماع معلق النيل للرياضه لرفع الاثقال في الاوليمبياد..احا;none;0;10;20;اسعدني حظي بسماع معلق النيل للرياضه لرفع الاثقال الاوليمبياداحا
113;خالتها صاحبتي 😓 ربنا يصبرهم ويربط علي قلوبهم وينتقم من الفجره دول;sympathy;1;12;21;خالتها صاحبتي 😓 ربنا يصبرهم ويربط علي قلوبهم وينتقم الفجره دول
114;السوريين الله يرحمهم برحمته  تراجف ايديني من البرد وقول;sympathy;0;9;17;السوريين الله يرحمهم برحمته تراجف ايديني البرد وقول
115;خايف يطول البعد ، وتسج مني وياخذ مكانك شخص مهوب يسّواك .;fear;0;12;24;خايف يطول البعد ، وتسج مني وياخذ مكانك شخص مهوب يسواك
116;دا النهارده يوم مصر والعرب ف الاوليمبياد بقي يارب دايما فرحانين 👏👏👏;joy;3;12;17;دا النهارده يوم مصر والعرب الاوليمبياد بقي يارب دايما فرحانين 👏👏👏
117;هنا شخص خايف يفتح الموقع ويشوف غياباته 💔.;fear;1;8;20;شخص خايف يفتح الموقع ويشوف غياباته 💔
118;alnssr  قائد محنك ذو خلق عالي محبوب. من ال الجميع ويستاهل سعاده اللواء جمال الخشرمي كل حب وتقدير واحترام;love;0;19;29;alnssr قائد محنك خلق عالي محبوب ال الجميع ويستاهل سعاده اللواء جمال الخشرمي حب وتقدير واحترام
119;وُ انْ رايتُك للمرهّ الالفُ لنّ تتغير تِلك النبضهَ التيْ اشعُر بهُا حينْ ارَاك❤️  الاول;love;1;15;25;ان رايتك للمره الالف تتغير النبضه اشعر اراك❤️ الاول
120;ليس هناك رجل يستحق ان تبكي من اجله ،ولا تصدقي انه حزين لفراقك، ف دائما عند كل شرقي بديل ! نزار قباني;sadness;0;22;25;رجل يستحق ان تبكي اجله ،ولا تصدقي انه حزين لفراقك، دائما شرقي بديل نزار قباني
121;KIDS: يعجز اللسان عن وصف حال  اطفال سوريا اللهم انهم مغلوبون فانصرهم 💔  اطفال سوريه  سوريه  يارب  صوره  مؤلمه  حمص  الثوره …;sympathy;1;22;28;KIDS يعجز اللسان وصف حال اطفال سوريا اللهم انهم مغلوبون فانصرهم 💔 اطفال سوريه سوريه يارب صوره مؤلمه حمص الثوره …
122;فظ محمد اظهارخان:03452498306 03002070292;anger;0;4;21;فظ محمد اظهارخان03452498306 03002070292
